FID,name,mus09,pri10,sec10,ter10,other10,gdp08
0,Aguascalientes,17.100000000000001,6.340000000000000,28.739999999999998,64.280000000000001,0.640000000000001,84.700000000000003
1,Baja California,15.400000000000000,5.440000000000000,31.640000000000001,61.680000000000000,1.240000000000009,83.069999999999993
2,Baja California Sur,3.000000000000000,9.180000000000000,17.480000000000000,72.370000000000005,0.969999999999999,94.640000000000001
3,Campeche,7.000000000000000,19.239999999999998,21.199999999999999,57.109999999999999,2.450000000000003,395.550000000000010
4,Chiapas,13.900000000000000,42.759999999999998,13.510000000000000,42.899999999999999,0.830000000000013,34.439999999999998
5,Chihuahua,15.199999999999999,10.220000000000001,34.159999999999997,53.920000000000002,1.700000000000003,85.099999999999994
6,Coahuila,5.700000000000000,6.240000000000000,35.009999999999998,57.729999999999997,1.020000000000010,106.050000000000000
7,Colima,21.000000000000000,13.359999999999999,18.300000000000001,67.890000000000001,0.450000000000003,76.489999999999995
8,Distrito Federal,4.800000000000000,0.680000000000000,16.480000000000000,80.719999999999999,2.120000000000005,172.880000000000000
9,Durango,17.399999999999999,16.620000000000001,25.770000000000000,56.250000000000000,1.359999999999999,67.609999999999999
10,Guanajuato,25.100000000000001,12.720000000000001,32.009999999999998,54.530000000000001,0.740000000000009,65.670000000000002
11,Guerrero,23.100000000000001,25.309999999999999,18.320000000000000,55.320000000000000,1.050000000000011,41.280000000000001
12,Hidalgo,30.399999999999999,19.090000000000000,25.399999999999999,54.770000000000003,0.740000000000009,53.060000000000002
13,Jalisco,17.399999999999999,8.960000000000001,27.430000000000000,62.320000000000000,1.289999999999992,81.430000000000007
14,México,4.400000000000000,5.100000000000000,25.629999999999999,67.620000000000005,1.650000000000006,54.409999999999997
15,Michoacán,39.600000000000001,23.219999999999999,22.170000000000002,53.670000000000002,0.939999999999998,52.799999999999997
16,Morelos,14.400000000000000,10.029999999999999,22.489999999999998,66.709999999999994,0.770000000000010,58.210000000000001
17,Nayarit,12.100000000000000,19.320000000000000,17.539999999999999,62.100000000000001,1.039999999999992,55.159999999999997
18,Nuevo León,9.400000000000000,2.750000000000000,31.629999999999999,63.329999999999998,2.290000000000006,151.810000000000000
19,Oaxaca,21.600000000000001,32.409999999999997,19.000000000000000,47.600000000000001,0.990000000000009,36.250000000000000
20,Puebla,13.699999999999999,22.350000000000001,26.090000000000000,50.840000000000003,0.719999999999999,53.810000000000002
21,Querétaro,23.600000000000001,7.490000000000000,31.739999999999998,59.719999999999999,1.050000000000011,95.069999999999993
22,Quintana Roo,5.100000000000000,6.850000000000000,14.510000000000000,76.959999999999994,1.680000000000007,103.910000000000000
23,San Luis Potosí,15.600000000000000,18.199999999999999,24.190000000000001,56.439999999999998,1.170000000000002,63.289999999999999
24,Sinaloa,12.199999999999999,16.820000000000000,19.710000000000001,62.119999999999997,1.349999999999994,66.450000000000003
25,Sonora,12.100000000000000,12.100000000000000,27.260000000000002,59.560000000000002,1.079999999999998,84.459999999999994
26,Tabasco,4.200000000000000,17.949999999999999,19.390000000000001,60.890000000000001,1.769999999999996,107.340000000000000
27,Tamaulipas,9.100000000000000,7.870000000000000,29.600000000000001,60.850000000000001,1.680000000000007,93.879999999999995
28,Tlaxcala,15.400000000000000,15.550000000000001,32.439999999999998,51.469999999999999,0.540000000000006,41.149999999999999
29,Veracruz,18.100000000000001,24.120000000000001,19.980000000000000,54.729999999999997,1.170000000000002,52.710000000000001
30,Yucatán,6.300000000000000,12.199999999999999,24.960000000000001,62.219999999999999,0.620000000000005,63.789999999999999
31,Zacatecas,31.300000000000001,24.320000000000000,22.879999999999999,52.009999999999998,0.789999999999992,48.170000000000002
